rpm,rps,reynolds_number,schmidt_number,sherwood_number,mass_transfer_coefficient_m_s,dissolution_time_s,calculated_mass_rate_kg_s,impeller_power_w,motor_power_w,energy_j
26.0,0.43333333333333335,602582.4089635857,535.5535553555357,5043.118587119008,0.011094860891661817,1.1599350643044055,43885.2152732587,141.191164160076,423.57349248022797,491.31774623769485
27.0,0.45,625758.6554621852,535.5535553555357,5139.186620996335,0.011306210566191936,1.1382521231561247,44721.19925316223,158.11707351859218,474.35122055577654,539.9312839193118
28.0,0.4666666666666667,648934.9019607847,535.5535553555357,5233.491489160008,0.011513681276152016,1.1177413959229583,45541.840165959664,176.34435796779633,529.033073903389,591.3221665141875
29.0,0.48333333333333334,672111.148459384,535.5535553555357,5326.126848732833,0.011717479067212232,1.0983009321372734,46347.95301588405,195.92121658512136,587.7636497553641,645.5413644027223
30.0,0.5,695287.3949579835,535.5535553555357,5417.178347670977,0.011917792364876148,1.079840778208752,47140.28311140458,216.8958484480002,650.6875453440007,702.6389453350083
31.0,0.5166666666666667,718463.641456583,535.5535553555357,5506.72455205068,0.012114794014511494,1.0622812213235235,47919.51413447505,239.3164526338658,717.9493579015974,762.6641207601484
32.0,0.5333333333333333,741639.8879551823,535.5535553555357,5594.837739724028,0.012308643027392862,1.0455513376395382,48686.27504692606,263.2312282201508,789.6936846604524,825.6652883222317
33.0,0.55,764816.1344537819,535.5535553555357,5681.584583153081,0.012499486082936778,1.029587784363892,49441.14603248708,288.68837428428833,866.065122852865,891.6900709529233
34.0,0.5666666666666667,787992.3809523813,535.5535553555357,5767.026739768534,0.012687458827490774,1.0143337887279178,50184.66363408738,315.7360899037111,947.2082697111333,960.7853529305092
35.0,0.5833333333333334,811168.6274509808,535.5535553555357,5851.221364714191,0.012872687002371219,0.9997382970196964,50917.32521575806,344.4225741558522,1033.2677224675567,1032.9973132251355
36.0,0.6,834344.8739495801,535.5535553555357,5934.221558095914,0.01305528742781101,0.9857552545647775,51639.59285459221,374.7960261181443,1124.388078354433,1108.371456407875
37.0,0.6166666666666667,857521.1204481797,535.5535553555357,6016.076756678958,0.013235368864693706,0.9723429934883047,52351.89674929486,406.9046448680206,1220.713934604062,1186.9526413658002
38.0,0.6333333333333333,880697.3669467791,535.5535553555357,6096.8330782411385,0.013413032772130504,0.959463709695689,53054.63821674414,440.7966294829135,1322.3898884487405,1268.7851080350968
39.0,0.65,903873.6134453786,535.5535553555357,6176.533625393602,0.013588373975865922,0.9470830141027291,53748.19233583943,476.5201790402565,1429.5605371207694,1353.9125023386546
