rpm,rps,reynolds_number,schmidt_number,sherwood_number,mass_transfer_coefficient_m_s,dissolution_time_s,calculated_mass_rate_kg_s,impeller_power_w,motor_power_w,energy_j
64.0,1.0666666666666667,1483279.7759103647,535.5535553555357,7912.295410794553,0.03481409980749603,0.1848291102308958,275411.16189115844,2105.8498257612064,6317.549477283619,1167.6670487259921
65.0,1.0833333333333333,1506456.0224089639,535.5535553555357,7973.870622813179,0.035085030740377984,0.1834018370547897,277554.4717406123,2206.1119400011867,6618.33582000356,1213.814947634171
66.0,1.1,1529632.2689075638,535.5535553555357,8034.973973264977,0.0353538854823659,0.1820071260376352,279681.35703364795,2309.5069942743066,6928.52098282292,1261.0401917750512
67.0,1.1166666666666667,1552808.5154061632,535.5535553555357,8095.616146577608,0.035620711044941473,0.1806437575822306,281792.1896738007,2416.083187657996,7248.249562973988,1309.351036949382
68.0,1.1333333333333333,1575984.7619047626,535.5535553555357,8155.8074299489535,0.035885552691775395,0.1793105750990384,283887.3277378329,2525.888719229689,7577.6661576890665,1358.755676643747
69.0,1.15,1599161.0084033618,535.5535553555357,8215.5577337204,0.036148454028369754,0.1780064808818405,285967.1161848862,2638.971788066818,7916.915364200455,1409.2622434206976
70.0,1.1666666666666667,1622337.2549019617,535.5535553555357,8274.87661042602,0.03640945708587448,0.17673043230862953,288031.8875195465,2755.3805932468176,8266.141779740454,1460.8788102579547
71.0,1.1833333333333333,1645513.501400561,535.5535553555357,8333.773272621358,0.03666860239953397,0.1754814383378536,290081.96241242776,2875.163333847119,8625.490001541357,1513.6133918392522
72.0,1.2,1668689.7478991603,535.5535553555357,8392.256609586042,0.03692592908217859,0.17425855627325637,292117.6502815563,2998.3682089451545,8995.104626835464,1567.4739457992364
73.0,1.2166666666666666,1691865.9943977594,535.5535553555357,8450.33520298592,0.03718147489313805,0.17306088877331294,294139.2498375388,3125.0434176183585,9375.130252855075,1622.4683739246734
74.0,1.2333333333333334,1715042.2408963593,535.5535553555357,8508.017341572926,0.03743527630292087,0.17188758108370178,296147.049595235,3255.237158944165,9765.711476832495,1678.6045233140826
75.0,1.25,1738218.4873949587,535.5535553555357,8565.31103499389,0.037687368553973116,0.17073781847341873,298141.32835441484,3388.9976320000033,10166.99289600001,1735.8901874977876
76.0,1.2666666666666666,1761394.7338935582,535.5535553555357,8622.224026773523,0.0379377857178035,0.16961082385705567,300122.35565166996,3526.373035863308,10579.119107589924,1794.3331075202466
77.0,1.2833333333333334,1784570.9803921578,535.5535553555357,8678.76380653104,0.03818656074873657,0.16850585558747883,302090.3921856502,3667.4115696115146,11002.234708834543,1853.9409729864208
78.0,1.3,1807747.2268907572,535.5535553555357,8734.937621485093,0.038433725534534405,0.1674222054046586,304045.69021752704,3812.161432322052,11436.484296966155,1914.7214230738202
79.0,1.3166666666666667,1830923.4733893564,535.5535553555357,8790.752487296988,0.038679310944106746,0.16635919652776257,305988.4939484243,3960.6708230723543,11882.012469217063,1976.6820475118068
80.0,1.3333333333333333,1854099.719887956,535.5535553555357,8846.21519829812,0.03892334687251173,0.16531618187883396,307919.03987541486,4112.9879409398545,12338.963822819564,2039.8303875295912
81.0,1.35,1877275.9663865557,535.5535553555357,8901.332337143873,0.03916586228343304,0.1642925424274629,309837.5571275533,4269.160985001989,12807.482955005966,2104.1739367743257
82.0,1.3666666666666667,1900452.212885155,535.5535553555357,8956.110283932736,0.03940688524930403,0.16328768564683083,311744.26778329426,4429.238154336184,13287.714463008553,2169.7201422005883
83.0,1.3833333333333333,1923628.459383754,535.5535553555357,9010.555224826503,0.039646442989236606,0.16230104407237747,313639.38717054453,4593.267648019877,13779.802944059631,2236.476404932499
